RR%, V_LA, V_LV, V_RA, V_RV
0.000000000000000000e+00, 3.353854734814017036e+01, 1.167411818934762664e+02, 6.109746593369445833e+01, 1.717417834617928349e+02
1.000000000000000000e+01, 4.168803383024022935e+01, 1.002523794307163030e+02, 7.060273191622785305e+01, 1.542893810374056045e+02
2.000000000000000000e+01, 4.975275660511201181e+01, 6.339886926561263181e+01, 8.362636203121454059e+01, 1.159746922442815844e+02
3.000000000000000000e+01, 5.542701117063629113e+01, 4.065636481235731736e+01, 9.333610226068341831e+01, 9.100090852473402947e+01
4.000000000000000000e+01, 6.273942063591531593e+01, 3.863669469993800476e+01, 1.010732856763553542e+02, 8.201940604537175261e+01
5.000000000000000000e+01, 6.634282300620391482e+01, 4.310993543544957163e+01, 1.078921556500114605e+02, 8.374565652485932787e+01
6.000000000000000000e+01, 5.618893389388352944e+01, 6.767030310853678543e+01, 1.017680548770200915e+02, 1.005723279779040098e+02
7.000000000000000000e+01, 5.237233218741626217e+01, 8.209206847820203734e+01, 9.369241418549202649e+01, 1.171607535135203193e+02
8.000000000000000000e+01, 4.883735839209346352e+01, 9.181858533873112549e+01, 8.412201482585564349e+01, 1.342361125798730086e+02
9.000000000000000000e+01, 3.161169238548909988e+01, 1.151850379461671849e+02, 5.602636862852727972e+01, 1.698284649956138708e+02
